T_or_V,label,Chamber_temp,power_mean,power_SD,power_iqr,power_skew,power_kurtosis,x_mean,x_SD,x_IQR,x_skew,x_kurtosis,y_mean,y_SD,y_IQR,y_skew,y_kurtosis,z_mean,z_SD,z_IQR,z_skew,z_kurtosis,board_temp_mean,board_temp_SD,board_temp_iqr,board_temp_skew,bt_kurtosis
T,1,22,0.0582771214754,0.0261570826197,0.05652735,0.410109198350846,-1.57625594104732,0.000947807405535,3.82394407484,4.7256097561,-0.220369274597409,0.4438017990275,-0.00600278023506,3.66490275956,4.35975609756,-0.052253734522528,0.265986862411183,0.0445469480602,4.50343218047,5.85365853659,-0.201543374181754,0.400265317552627,0,0,0,0,0
T,1,22,0.0583386788993,0.0262033755023,0.0564848,0.406100331417001,-1.58855286585893,-0.236617041495,3.87049218642,5.24390243902,0.017046356037993,-0.332981955956896,-0.30155210643,3.67106904075,5.12195121951,-0.05295494090938,-0.014990025978579,0.0272410516313,4.61017251125,6.46341463415,-0.07893565368737,-0.207386916101549,0,0,0,0,0
T,1,22,0.0581209921277,0.0262337602283,0.05631193,0.417106904953421,-1.57660228025109,-0.322117226408,3.61677451181,4.75609756098,-0.214269720483429,0.115098330665433,0.447899374282,3.50374948083,4.84756097561,-0.229904577982726,0.066970459253863,0.0217085940493,4.38348977867,6.18902439024,-0.085780367008861,-0.133194107755153,0,0,0,0,0
T,1,22,0.0583118894896,0.0262020431816,0.05647591,0.412569980779427,-1.58530723101321,0.151420151734,3.92011798492,4.87804878049,0.057563435268631,0.158385170496538,0.00219449495266,3.76221962022,5.24390243902,-0.253725907901083,-0.017438722207554,0.336384726315,4.28402056174,5.36585365854,0.094823558807585,0.258265781277757,0,0,0,0,0
T,1,22,0.0582712068213,0.0262453031019,0.056645915,0.408385197277376,-1.584699035742,0.0523543795849,3.91506294257,4.63414634146,0.028326145081971,0.444752643835462,0.286851840241,3.78541841413,5.12195121951,-0.079496123271439,-0.31655222557974,0.247977929651,4.22874997444,5.73170731707,-0.125009704441815,0.07404245954974,0,0,0,0,0
V,1,20,0.0580674094266,0.0262519501902,0.054027505,0.401846862635967,-1.5801684778101,-0.135915099609,3.78489385612,5,0.01331953516929,-0.313112219876891,0.417364860672,3.66238178406,4.87804878049,0.126634292306889,-0.331996660804731,-0.199218022715,4.50865553232,6.21951219512,0.023154701161703,-0.032725854897179,0,0,0,0,0
V,1,20,0.0580852443088,0.026287972751,0.0564779125,0.415548550268061,-1.57867664288687,-0.25980911983,3.89864739536,5.24390243902,-0.211190051088317,0.083822616070542,-0.211153390306,3.53068563262,4.87804878049,0.019480681417422,-0.201706668607291,0.283513193188,4.33608947842,5.30487804878,0.191291218793808,0.422482744829956,0,0,0,0,0
V,1,20,0.0579875236512,0.0264582346002,0.056810835,0.407964977840586,-1.58624756503781,-0.252388735228,3.68812484816,4.90853658537,-0.104858035225729,0.144074265036824,0.141438270053,3.86146262616,5.36585365854,0.070690705841429,-0.13219150281385,0.468632134775,4.58634599383,6.09756097561,-0.069744089353128,0.269576034430258,0,0,0,0,0
V,1,20,0.0583223394213,0.0262011483476,0.0574801825,0.421897102707115,-1.57632203005696,0.1507191995,3.79300665552,5.21341463415,0.205770306510309,-0.273877267590265,0.0137585991245,3.87855729955,5.06097560976,-0.050983284489159,0.028771380868788,0.197623514697,4.53800671337,5.73170731707,-0.149861490857634,-0.038462748588398,0,0,0,0,0
V,1,20,0.0581184542424,0.0263342392255,0.05671418,0.408773087250123,-1.58342303359717,0.0923299930674,3.70912674362,5.42682926829,0.119486677731237,-0.047679882692472,0.177097119808,3.65224909625,4.57317073171,-0.165459902679832,0.442054126334056,0.0482132728304,4.48051881251,6.46341463415,0.159263264204005,-0.001642857500949,0,0,0,0,0
T,1,18,0.0579943690376,0.0263427541914,0.0569705,0.420438825806735,-1.57529176038235,0.0206427845528,3.90533586565,5.48780487805,-0.031838464771637,-0.243604368127464,0.408409552846,3.78363792128,5.24390243902,0.128040715461754,0.12281855745554,0.506542174797,4.22344109954,6.00609756098,-0.015424077395389,-0.313730460186398,0,0,0,0,0
T,1,18,0.0581665634483,0.0263663297356,0.056935115,0.407905937990612,-1.58584587826626,-0.334432553509,3.67985212991,4.90853658537,0.191100378332375,0.606350263621818,-0.0133773021404,3.68521611886,5.15243902439,0.087122120855561,-0.249422614856853,0.404741164759,4.61741966166,6.15853658537,0.147721657893441,0.02934540280634,0,0,0,0,0
T,1,18,0.0580122727083,0.0263592099657,0.0568123975,0.413483286383798,-1.57846452549029,-0.113821138211,4.03029995459,5.09146341463,-0.105904081046611,-0.09872487021174,0.293621013133,3.63519852955,4.32926829268,-0.353749458917613,0.384387240431079,-0.0190744215134,4.16880141309,5.48780487805,0.318512493938652,0.171376158329467,0,0,0,0,0
T,1,18,0.0579366965589,0.0263666688869,0.05621834,0.415426960453407,-1.57848386611633,-0.242338961851,3.82736842515,4.63414634146,0.05405645881861,0.034319100376414,0.129455909944,3.63992830247,4.39024390244,0.018233254178776,-0.04761687624375,0.0268918073796,4.53182281726,6.43292682927,0.092469898098877,-0.192503427503206,0,0,0,0,0
T,1,18,0.0580799875059,0.0263442688106,0.05683902,0.413501680596013,-1.5824763773524,0.00571646341463,3.9148899653,5.48780487805,-0.026067249117322,-0.098384965230452,-0.196900406504,3.75783559856,4.87804878049,-0.071508315044524,0.07272823775105,0.150851117886,4.34315445058,5.39634146341,-0.211496580550855,0.472532808663109,0,0,0,0,0
T,2,18,0.057974334069,0.0265119351018,0.056607555,0.412817036636001,-1.58421506148755,0.00351200991378,0.00402846428505,0.00515463917526,-0.227554960722851,0.223257153769831,0.0322909800406,0.004837558609,0.00670103092784,-0.155405680934221,-0.094353659040349,1.01390566087,0.00500771390144,0.00721649484536,-0.101633950643386,-0.180416636555958,0,0,0,0,0
T,2,18,0.0580741287097,0.0264906609209,0.056896455,0.409798459736814,-1.58586267301895,0.00387059350858,0.00420737682137,0.00618556701031,-0.138735070874617,0.101336727425577,0.0323753526511,0.00457973464284,0.00618556701031,0.172942583735864,0.049927176542286,1.01435916366,0.00519115781899,0.00618556701031,-0.098154685205153,-0.047574892444268,0,0,0,0,0
T,2,18,0.0579857769431,0.0264322998437,0.056830315,0.41164308601585,-1.5769585841366,0.00384034112377,0.00394373638921,0.00515463917526,0.038186379119141,-0.300659548967626,0.0324121552329,0.004678177922,0.00721649484536,0.106546128307666,-0.498539338026969,1.01350461489,0.00477416456294,0.00618556701031,-0.12987550088275,-0.223483379300569,0,0,0,0,0
T,2,18,0.0580123466513,0.026478927336,0.05654257,0.415592749906829,-1.57854607690998,0.00384615384615,0.00404791925764,0.00515463917526,-0.169214004838811,0.3623115666777,0.0325773195876,0.00478779193008,0.0069587628866,-0.206659699215511,-0.444074919005995,1.0138197198,0.00534004128754,0.00721649484536,-0.140322009085836,0.001866822452341,0,0,0,0,0
T,2,18,0.0580484179767,0.0264326011952,0.0570088075,0.414280575095482,-1.57651170684658,0.00390583483898,0.00404411913434,0.00618556701031,-0.000546908811695,0.00823360911609,0.0324104580721,0.00504765029637,0.00721649484536,-0.039103312708857,0.036119068715028,1.01432670847,0.00509796570555,0.00618556701031,0.093286975861781,-0.104709177127862,0,0,0,0,0
V,2,20,0.0579845283527,0.0265006864208,0.05561759,0.411603670583156,-1.58382639550825,0.0080401743012,0.00440204766438,0.00618556701031,0.12962529508273,0.116859259675978,0.0334307577851,0.00490716920993,0.00721649484536,-0.172486828524176,-0.223848599492174,1.01647093209,0.00509713681797,0.00721649484536,0.08182184665412,-0.225354255658701,0,0,0,0,0
V,2,20,0.0578483385517,0.0265850130741,0.05559067,0.403222179372889,-1.58345914968408,0.00772932884494,0.00396482699993,0.00515463917526,0.006553041332156,0.213026520648061,0.0327109194193,0.00478682924035,0.00644329896907,-0.003015125089852,-0.378484516209239,1.01651851462,0.0050178551855,0.00618556701031,-0.113240122697115,0.331605452145803,0,0,0,0,0
V,2,20,0.0578646680046,0.0264466048632,0.05499,0.418282933325373,-1.57448212455663,0.00757957225771,0.00444534233313,0.00515463917526,-0.126326080766308,0.261918685077941,0.0334137227361,0.00487099999615,0.00515463917526,-0.06036260782411,0.215706525830543,1.01632258235,0.00517240170106,0.00618556701031,-0.08089919068335,0.218266129241082,0,0,0,0,0
V,2,20,0.0580229144598,0.0264461616059,0.05692288,0.421689283384197,-1.57346444540491,0.0080659583421,0.00416910847894,0.00515463917526,0.216636651862995,0.85787690357716,0.0330659583421,0.00459538635444,0.00515463917526,-0.308010132831751,0.162710022970559,1.01684199453,0.00533391967745,0.00721649484536,-0.132865157516511,-0.059834693387908,0,0,0,0,0
V,2,20,0.0581751118372,0.0262979521469,0.0567451075,0.425433602160043,-1.56969829204561,0.00789759626852,0.00374934101492,0.00515463917526,0.029338546051197,0.090693032317478,0.0328386293165,0.00474900623168,0.00721649484536,0.114157414148374,-0.097094246263879,1.01622717515,0.00482891474124,0.00618556701031,-0.021119003630508,0.488165139949442,0,0,0,0,0
T,2,22,0.0581881838588,0.0262890616263,0.05664916,0.417628819600756,-1.56946957903767,0.00569018610256,0.00449834712963,0.00515463917526,0.047538840281629,0.128628044069408,0.0375016735841,0.00457329325714,0.00721649484536,-0.275097274936748,-0.125729756164097,1.01876824207,0.00528938610175,0.00618556701031,-0.015253192617156,-0.031198959393877,0,0,0,0,0
T,2,22,0.0581148285337,0.0263414454668,0.0561680625,0.416962508751626,-1.57480438825361,0.00618556701031,0.00433770818528,0.00618556701031,0.067549558381901,-0.14521054303271,0.0378061419299,0.00483702741953,0.00618556701031,-0.117957726122904,0.382598929181591,1.01823760432,0.00467428116567,0.00618556701031,-0.098091172941123,0.061689334636216,0,0,0,0,0
T,2,22,0.0583233908551,0.026307888469,0.0565967,0.413112639881701,-1.57917287703564,0.0059149822767,0.00430887986074,0.00515463917526,0.092299790778239,0.084883071763996,0.0381199772709,0.00494070978448,0.00721649484536,-0.194736303785066,-0.066953407445258,1.01837270341,0.0052736388422,0.00824742268041,-0.002855664352048,-0.070492733319307,0,0,0,0,0
T,2,22,0.0581439901628,0.0263751438429,0.05652526,0.416833951463455,-1.57812866549507,0.00585959239923,0.00438200306939,0.00618556701031,-0.027380220731126,0.050053551974438,0.0379296636896,0.00484342175225,0.00618556701031,-0.104562509894808,-0.090864532347905,1.01864680783,0.00518740501131,0.00618556701031,0.154388639595867,-0.067516508871739,0,0,0,0,0
T,2,22,0.0580374932864,0.0263218048755,0.0564411875,0.419956165844836,-1.57197383891781,0.00571160797965,0.00416355963571,0.00515463917526,-0.290703512958387,0.231023850403528,0.0376382380506,0.00487590699176,0.00721649484536,-0.167777243844728,-0.279429360612518,1.01845762485,0.00519104672502,0.00721649484536,0.084954518221332,-0.430090396296298,0,0,0,0,0
